                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.27783,                0.25247,                0.83774,                0.99254,                      1,                  0.995,                0.98699,                0.20797,                0.21027,                0.76666,              0.0002972,              0.0002972,              0.0002972
                     88,                0.25055,                0.24146,                0.82309,                0.98539,                      1,                  0.995,                0.98746,                0.19256,                0.20401,                0.76723,              0.0002774,              0.0002774,              0.0002774
                     89,                0.25525,                0.25235,                0.83114,                0.98202,                      1,                  0.995,                0.98647,                0.20312,                0.21828,                0.76947,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.2475,                0.24841,                0.83344,                0.98128,                      1,                  0.995,                0.98955,                0.20086,                0.21804,                0.77042,              0.0002378,              0.0002378,              0.0002378
                     91,                0.19773,                0.20455,                 0.7684,                0.98064,                      1,                  0.995,                0.98876,                0.19653,                0.21373,                0.76728,               0.000218,               0.000218,               0.000218
                     92,                0.20127,                0.21257,                 0.7774,                0.98103,                      1,                  0.995,                0.98531,                0.19767,                0.20579,                0.76669,              0.0001982,              0.0001982,              0.0001982
                     93,                0.19218,                0.21524,                0.78169,                0.99124,                      1,                  0.995,                0.98753,                0.18866,                0.19243,                  0.764,              0.0001784,              0.0001784,              0.0001784
                     94,                0.18642,                0.19897,                0.78172,                 0.9975,                      1,                  0.995,                0.99174,                0.19081,                0.18475,                0.76351,              0.0001586,              0.0001586,              0.0001586
                     95,                0.19396,                0.20638,                0.78389,                 0.9984,                      1,                  0.995,                0.99029,                0.19375,                0.18221,                0.76531,              0.0001388,              0.0001388,              0.0001388
                     96,                0.19005,                0.19512,                0.79197,                0.99851,                      1,                  0.995,                0.99162,                0.19349,                0.17737,                0.77265,               0.000119,               0.000119,               0.000119
                     97,                0.17126,                0.18881,                0.77874,                0.99846,                      1,                  0.995,                0.98993,                0.19062,                 0.1764,                0.77752,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.17867,                0.18857,                0.78639,                0.99841,                      1,                  0.995,                0.98989,                0.18413,                0.17478,                0.77702,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.17694,                0.18585,                0.76504,                0.99845,                      1,                  0.995,                0.99101,                0.17755,                0.17326,                 0.7764,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.1717,                0.17937,                0.79611,                0.99843,                      1,                  0.995,                  0.991,                0.17453,                0.17379,                0.77608,               3.98e-05,               3.98e-05,               3.98e-05
